painting,paintingLabel,depicts,depictsLabel
http://www.wikidata.org/entity/Q22084524,Staruszka modląca się,http://www.wikidata.org/entity/Q29885090,Neeltje Willemsdr. Zuytbrouck
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q35831,sen
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q161524,maska
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q190007,młodzież
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q849004,Knot
http://www.wikidata.org/entity/Q22084532,Scena karnawałowa,http://www.wikidata.org/entity/Q2727213,kradzież
http://www.wikidata.org/entity/Q22084541,Krezus pokazujący swe skarby Solonowi,http://www.wikidata.org/entity/Q133337,Solon
http://www.wikidata.org/entity/Q22084541,Krezus pokazujący swe skarby Solonowi,http://www.wikidata.org/entity/Q184462,Krezus
http://www.wikidata.org/entity/Q22084546,Głowa starca,http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084546,Głowa starca,http://www.wikidata.org/entity/Q191089,starość
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q345,Maria z Nazaretu
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q147507,Powój
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q942467,Dzieciątko Jezus
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q961082,altana
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q13222088,granat
http://www.wikidata.org/entity/Q22084550,Madonna z Dzieciątkiem w altanie ogrodowej,http://www.wikidata.org/entity/Q15548309,papuga
http://www.wikidata.org/entity/Q22084561,Naigrawanie z Chrystusa,http://www.wikidata.org/entity/Q302,Jezus Chrystus
http://www.wikidata.org/entity/Q22084568,Chłopska rodzina we wnętrzu (W kuchni),http://www.wikidata.org/entity/Q467,kobieta
http://www.wikidata.org/entity/Q22084568,Chłopska rodzina we wnętrzu (W kuchni),http://www.wikidata.org/entity/Q8441,mężczyzna
http://www.wikidata.org/entity/Q22084611,Wzburzone morze z wrakiem statku,http://www.wikidata.org/entity/Q165,morze
http://www.wikidata.org/entity/Q22084611,Wzburzone morze z wrakiem statku,http://www.wikidata.org/entity/Q8063,skała
