"object_id","url","desc","img_src","full_img_src","is_sent"
49,"https://zbiory.mnk.pl/pl/katalog/4530","WIEDEŃ (WIEN) - Muzeum Historii Sztuki - ""Danae"", akt leżący i Zeus spadający do tacy w postaci złotego deszczu - kompozycja malarska (olej na płótnie) z 1554 r. (inne wersje w: Neapolu, Madrycie i Petersburgu) - TYCJAN (TIZIANO VECELLI), Miedkke, H. O.","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/90/47/904702233bd27fc8e3814901a148a773.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/90/47/904702233bd27fc8e3814901a148a773.jpg",0
50,"https://zbiory.mnk.pl/pl/katalog/22956","NEAPOL (NAPOLI)- Muzeum Capodimonte - ""Danae"", akt leżący w towarzystwie Amora i Zeus spadający w postaci złotego deszczu - kompozycja malarska (olej na płótnie) z 1545 r. (inne wersje w: Wiedniu, Madrycie i Petersburgu) - TYCJAN (TIZIANO VECELLI), Sommer, Giorgio (Georg) (1834-1914)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/5e/5d/5e5d373905c70d2dbc0f35bbeee43f51.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/5e/5d/5e5d373905c70d2dbc0f35bbeee43f51.jpg",0
51,"https://zbiory.mnk.pl/pl/katalog/157417","Dama z gronostajem - portret Cecylii Gallerani (ok.1473 - 1536), Leonardo da Vinci (1452-1519)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/45/dd/45dda2c7ff6223406de33f557fcd4233.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/45/dd/45dda2c7ff6223406de33f557fcd4233.jpg",0
52,"https://zbiory.mnk.pl/pl/katalog/269717","Pochodnie Nerona, Siemiradzki, Henryk (1843-1902)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/85/82/8582f5c9b69c413e579d5e288397781d.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/85/82/8582f5c9b69c413e579d5e288397781d.jpg",0
53,"https://zbiory.mnk.pl/pl/katalog/143955","naga kobieta na rozszalałym koniu. Scena ukazana na ciemnym, jednolitym tle.","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/3a/b3/3ab3d410200f6f37f795a527b9f7e90c.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/3a/b3/3ab3d410200f6f37f795a527b9f7e90c.jpg",0
54,"https://zbiory.mnk.pl/pl/katalog/214591","Krajobraz z przypowieścią o miłosiernym Samarytaninie, Rembrandt van Rijn (1606-1669)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/00/2a/002aa281e5b01cf2fceefe4891faf063.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/00/2a/002aa281e5b01cf2fceefe4891faf063.jpg",0
55,"https://zbiory.mnk.pl/pl/katalog/96516","Matka Boska z Dzieciątkiem, z kościoła w Krużlowej Wyżnej, nieznany","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/db/c7/dbc73cdb63cdaf9dac1cad0a046feb26.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/db/c7/dbc73cdb63cdaf9dac1cad0a046feb26.jpg",0
56,"https://zbiory.mnk.pl/pl/katalog/163223","Teza Marcjana Dominika Wołłowicza, Hooghe, Romeyn de (1645–1708)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/81/d4/81d4c8d8d1d6af0f61630c89d980bcf7.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/81/d4/81d4c8d8d1d6af0f61630c89d980bcf7.jpg",0
57,"https://zbiory.mnk.pl/pl/katalog/502804","Zygmunt III Waza (1587–1632), donatywa 10-dukatowa, Gdańsk; 1614, Ammon (Amman), Samuel (1590-1622)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/6f/46/6f46756f02876da8c0647c8865fb57ee.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/6f/46/6f46756f02876da8c0647c8865fb57ee.jpg",0
58,"https://zbiory.mnk.pl/pl/katalog/323976","Fotel,","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/51/c1/51c11aabfd4628b1f5e9a416865d12cb.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/51/c1/51c11aabfd4628b1f5e9a416865d12cb.jpg",0
59,"https://zbiory.mnk.pl/pl/katalog/218100","Stanik kobiecy od sukni, nieznany","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/16/f0/16f014372c6ab48e910eee9538bf850a.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/16/f0/16f014372c6ab48e910eee9538bf850a.jpg",0
60,"https://zbiory.mnk.pl/pl/katalog/9464","Flakon, Szymański, Tadeusz (1908-1976)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/1c/41/1c4119bea33277d8f5b9665ef1a056ba.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/1c/41/1c4119bea33277d8f5b9665ef1a056ba.jpg",0
61,"https://zbiory.mnk.pl/pl/katalog/362812","Suknia dwuczęściowa - suknia i bolerko, nieznany","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/b3/ea/b3eadb63a55f27de2eaec02f92245f5e.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/b3/ea/b3eadb63a55f27de2eaec02f92245f5e.jpg",1
62,"https://zbiory.mnk.pl/pl/katalog/181040","Autoportret Jana Matejki, Matejko, Jan (1838-1893)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/8e/0d/8e0dcdd1d4d1a6e74531d319491ce377.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/8e/0d/8e0dcdd1d4d1a6e74531d319491ce377.jpg",0
63,"https://zbiory.mnk.pl/pl/katalog/32231","Mikołaj Kopernik. Szkic do obrazu ""Astronom Kopernik, czyli rozmowa z Bogiem"", Matejko, Jan (1838-1893)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/ab/b6/abb6c5f11fb00ad33d4be06afc45117f.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/ab/b6/abb6c5f11fb00ad33d4be06afc45117f.jpg",0
64,"https://zbiory.mnk.pl/pl/katalog/22050","Jan III Sobieski wręcza kanonikowi Denhoffowi list do papieża z wiadomością o zwycięstwie nad Turkami pod Wiedniem w r. 1683, Matejko, Jan (1838-1893)","https://cdn-zbiory.mnk.pl/upload/cache/multimedia_detail/e7/f9/e7f9f97e92568834fea9b0f353410bfa.jpg","https://cdn-zbiory.mnk.pl/upload/multimedia/e7/f9/e7f9f97e92568834fea9b0f353410bfa.jpg",0
