"corpus","user/mw0000/archiwa_spoleczne"
"subcorpus","-"
Item,Frequency,Relative frequency,DOCF,Relative DOCF
"odczytywać",14,27.05685,7,3.78378
"opatrzyć",14,27.05685,10,5.40541
"umówić",14,27.05685,10,5.40541
"św.",14,27.05685,4,2.16216
"rozwinąć",14,27.05685,6,3.24324
"zastrzec",14,27.05685,9,4.86486
"obrazować",14,27.05685,4,2.16216
"akceptować",14,27.05685,12,6.48649
"obejrzeć",14,27.05685,12,6.48649
"zintegrować",14,27.05685,7,3.78378
"zajść",14,27.05685,8,4.32432
"rosnąć",14,27.05685,10,5.40541
"zamieszkiwać",14,27.05685,8,4.32432
"zróżnicować",14,27.05685,6,3.24324
"oczekiwać",14,27.05685,7,3.78378
"odbierać",14,27.05685,5,2.70270
"zapoczątkować",14,27.05685,7,3.78378
"chcielibyśmy",14,27.05685,10,5.40541
"skoncentrować",13,25.12422,7,3.78378
"toczyć",13,25.12422,10,5.40541
"zasługiwać",13,25.12422,5,2.70270
"przestać",13,25.12422,7,3.78378
"przybliżyć",13,25.12422,8,4.32432
"uniemożliwiać",13,25.12422,10,5.40541
"bazować",13,25.12422,10,5.40541
"wspomagać",13,25.12422,4,2.16216
"pogłębić",13,25.12422,8,4.32432
"deklarować",13,25.12422,8,4.32432
"wykraczać",13,25.12422,8,4.32432
"wyposażyć",13,25.12422,6,3.24324
"wypożyczać",13,25.12422,4,2.16216
"zgodzić",13,25.12422,7,3.78378
"wyłonić",13,25.12422,7,3.78378
"odnajdywać",13,25.12422,6,3.24324
"wzmacniać",13,25.12422,8,4.32432
"wzmocnić",13,25.12422,8,4.32432
"rozszerzać",13,25.12422,4,2.16216
"narastać",13,25.12422,2,1.08108
"zadzwonić",13,25.12422,13,7.02703
"zagrozić",13,25.12422,8,4.32432
"odróżniać",13,25.12422,6,3.24324
"oddzielić",13,25.12422,4,2.16216
"rozpatrywać",13,25.12422,5,2.70270
"przekształcić",13,25.12422,8,4.32432
"zrzeszać",13,25.12422,8,4.32432
"zamykać",13,25.12422,8,4.32432
"róść",13,25.12422,3,1.62162
"pt.",13,25.12422,6,3.24324
"odznaczać",13,25.12422,3,1.62162
"indeksować",13,25.12422,4,2.16216
"zrabować",13,25.12422,1,0.54054
"wyjść",12,23.19159,9,4.86486
"trzymać",12,23.19159,6,3.24324
"sygn.",12,23.19159,3,1.62162
"zastanawiać",12,23.19159,7,3.78378
"przetrwać",12,23.19159,6,3.24324
"zatrzymać",12,23.19159,9,4.86486
"udawać",12,23.19159,6,3.24324
