"article_title","article_id","filename","nchar"
"Państwowe Muzeum Archeologiczne w Warszawie","1263123","Państwowe_Muzeum_Archeologiczne_w_Warszawie__pageid-1263123.txt",5163
"Państwowe Muzeum Auschwitz Birkenau w Oświęcimiu","518436","Państwowe_Muzeum_Auschwitz_Birkenau_w_Oświęcimiu__pageid-518436.txt",4921
"Państwowe Muzeum na Majdanku","4365055","Państwowe_Muzeum_na_Majdanku__pageid-4365055.txt",8675
"Państwowy Rejestr Muzeów","564327","Państwowy_Rejestr_Muzeów__pageid-564327.txt",6134
"Park Militarny Rembertów","3685180","Park_Militarny_Rembertów__pageid-3685180.txt",1462
"Polskie Muzeum Szkolne we Lwowie","5285021","Polskie_Muzeum_Szkolne_we_Lwowie__pageid-5285021.txt",2493
"Port Lockroy","3634631","Port_Lockroy__pageid-3634631.txt",2511
"Portmoneum","1990030","Portmoneum__pageid-1990030.txt",1336
"Professional Wrestling Hall of Fame and Museum","4508183","Professional_Wrestling_Hall_of_Fame_and_Museum__pageid-4508183.txt",3117
"Prywatne Muzeum Motoryzacji i Techniki w Otrębusach","619642","Prywatne_Muzeum_Motoryzacji_i_Techniki_w_Otrębusach__pageid-619642.txt",5246
"Rezydencja królewska w Fontainebleau","2734318","Rezydencja_królewska_w_Fontainebleau__pageid-2734318.txt",6650
"Ripley s Believe It or Not ","2137613","Ripley_s_Believe_It_or_Not___pageid-2137613.txt",2224
"Rock and Roll Hall of Fame","23214","Rock_and_Roll_Hall_of_Fame__pageid-23214.txt",25206
"Rogalowe Muzeum Poznania","3156282","Rogalowe_Muzeum_Poznania__pageid-3156282.txt",546
"Rotunda w Częstochowie","3139739","Rotunda_w_Częstochowie__pageid-3139739.txt",1678
"Skansen Broni Morskiej","908156","Skansen_Broni_Morskiej__pageid-908156.txt",1053
"Skansen górniczy w Stříbrze","5199925","Skansen_górniczy_w_Stříbrze__pageid-5199925.txt",2649
"Skansen Leśnej Kolei Wąskotorowej w Pionkach","3542982","Skansen_Leśnej_Kolei_Wąskotorowej_w_Pionkach__pageid-3542982.txt",2392
"Skarbiec bazyliki św  Serwacego w Maastricht","2202884","Skarbiec_bazyliki_św__Serwacego_w_Maastricht__pageid-2202884.txt",4491
"Škoda Muzeum","3273723","Škoda_Muzeum__pageid-3273723.txt",822
